Znacznik,CZAS,Grupa 1 - Pole 0,CZAS,Grupa 10 - Pole 2,CZAS,Grupa 11 - Pole 1,,,,,,,,,,,,,,,,,,,
,ZAPISU,Engine Speed - (G28),ZAPISU,Boost Pressure - (actual),ZAPISU,Boost Pressure - (specified),,,,,,,,,,,,,,,,,,,
,, /min,, mbar,, mbar,,,,,,,,,,,,,,,,,,,
,0.09,1092,0.19,999.6,0.01,1091.4,,,,,,,,,,,,,,,,,,,
,0.36,1050,0.44,989.4,0.27,1091.4,,,,,,,,,,,,,,,,,,,
,0.61,987,0.69,989.4,0.53,1091.4,,,,,,,,,,,,,,,,,,,
,0.86,924,0.94,979.2,0.77,1091.4,,,,,,,,,,,,,,,,,,,
,1.11,840,1.21,979.2,1.02,1091.4,,,,,,,,,,,,,,,,,,,
,1.39,777,1.48,979.2,1.30,1091.4,,,,,,,,,,,,,,,,,,,
,1.66,819,1.75,969.0,1.57,1101.6,,,,,,,,,,,,,,,,,,,
,1.92,924,2.01,969.0,1.83,1152.6,,,,,,,,,,,,,,,,,,,
,2.17,966,2.27,989.4,2.09,1193.4,,,,,,,,,,,,,,,,,,,
,2.44,1029,2.52,1009.8,2.36,1254.6,,,,,,,,,,,,,,,,,,,
,2.68,1092,2.78,1050.6,2.60,1356.6,,,,,,,,,,,,,,,,,,,
,2.93,1176,3.03,1091.4,2.85,1448.4,,,,,,,,,,,,,,,,,,,
,3.20,1239,3.30,1152.6,3.10,1499.4,,,,,,,,,,,,,,,,,,,
,3.46,1344,3.56,1224.0,3.38,1570.8,,,,,,,,,,,,,,,,,,,
,3.71,1470,3.81,1315.8,3.63,1662.6,,,,,,,,,,,,,,,,,,,
,3.96,1596,4.06,1438.2,3.89,1754.4,,,,,,,,,,,,,,,,,,,
,4.23,1743,4.31,1611.6,4.13,1856.4,,,,,,,,,,,,,,,,,,,
,4.48,1911,4.57,1836.0,4.39,1958.4,,,,,,,,,,,,,,,,,,,
,4.72,2058,4.81,2142.0,4.64,2009.4,,,,,,,,,,,,,,,,,,,
,4.97,2247,5.05,2397.0,4.89,2029.8,,,,,,,,,,,,,,,,,,,
,5.22,2415,5.30,2550.0,5.13,2029.8,,,,,,,,,,,,,,,,,,,
,5.47,2541,5.56,2570.4,5.38,2029.8,,,,,,,,,,,,,,,,,,,
,5.74,2709,5.84,2570.4,5.64,2029.8,,,,,,,,,,,,,,,,,,,
,6.02,2898,6.11,2570.4,5.93,2029.8,,,,,,,,,,,,,,,,,,,
,6.30,2982,6.39,2570.4,6.21,2029.8,,,,,,,,,,,,,,,,,,,
,6.57,3108,6.67,2570.4,6.47,2029.8,,,,,,,,,,,,,,,,,,,
,6.83,3192,6.92,2570.4,6.75,2029.8,,,,,,,,,,,,,,,,,,,
,7.08,3297,7.17,2570.4,6.99,2029.8,,,,,,,,,,,,,,,,,,,
,7.35,3234,7.45,2570.4,7.26,2029.8,,,,,,,,,,,,,,,,,,,
,7.61,3381,7.71,2570.4,7.53,2019.6,,,,,,,,,,,,,,,,,,,
,7.86,3507,7.95,2570.4,7.78,2029.8,,,,,,,,,,,,,,,,,,,
,8.11,3402,8.20,2570.4,8.02,2029.8,,,,,,,,,,,,,,,,,,,
,8.37,3318,8.46,2570.4,8.28,2019.6,,,,,,,,,,,,,,,,,,,
,8.63,3381,8.73,2570.4,8.54,2019.6,,,,,,,,,,,,,,,,,,,
,8.89,3570,8.98,2570.4,8.80,2019.6,,,,,,,,,,,,,,,,,,,
,9.14,3633,9.22,2570.4,9.06,2029.8,,,,,,,,,,,,,,,,,,,
,9.39,3633,9.47,2570.4,9.30,2029.8,,,,,,,,,,,,,,,,,,,
,9.64,3717,9.72,2570.4,9.56,2029.8,,,,,,,,,,,,,,,,,,,
,9.89,3654,9.98,2570.4,9.81,2029.8,,,,,,,,,,,,,,,,,,,
,10.16,3696,10.26,2570.4,10.07,2029.8,,,,,,,,,,,,,,,,,,,
,10.42,3843,10.50,2570.4,10.34,2029.8,,,,,,,,,,,,,,,,,,,
,10.67,3885,10.76,2570.4,10.58,2029.8,,,,,,,,,,,,,,,,,,,
,10.93,3906,11.01,2570.4,10.85,2029.8,,,,,,,,,,,,,,,,,,,
,11.19,3906,11.28,2570.4,11.10,1448.4,,,,,,,,,,,,,,,,,,,
,11.45,3927,11.53,2570.4,11.36,1387.2,,,,,,,,,,,,,,,,,,,
,11.72,4032,11.81,1897.2,11.63,1377.0,,,,,,,,,,,,,,,,,,,
,12.00,4074,12.09,1468.8,11.91,1366.8,,,,,,,,,,,,,,,,,,,
,12.27,4053,12.35,1346.4,12.18,1366.8,,,,,,,,,,,,,,,,,,,
,12.52,4032,12.61,1336.2,12.43,1366.8,,,,,,,,,,,,,,,,,,,
,12.80,4053,12.88,1346.4,12.71,1366.8,,,,,,,,,,,,,,,,,,,
,13.04,4074,13.12,1356.6,12.96,1366.8,,,,,,,,,,,,,,,,,,,
,13.29,4095,13.38,1366.8,13.21,1366.8,,,,,,,,,,,,,,,,,,,
,13.55,4116,13.63,1377.0,13.46,1366.8,,,,,,,,,,,,,,,,,,,
,13.80,4158,13.89,1387.2,13.71,1356.6,,,,,,,,,,,,,,,,,,,
,14.07,4179,14.15,1387.2,13.98,1356.6,,,,,,,,,,,,,,,,,,,
,14.31,4200,14.40,1387.2,14.23,1356.6,,,,,,,,,,,,,,,,,,,
,14.58,4200,14.67,1397.4,14.48,1346.4,,,,,,,,,,,,,,,,,,,
,14.85,4242,14.94,1397.4,14.76,1346.4,,,,,,,,,,,,,,,,,,,
,15.11,4263,15.21,1397.4,15.02,1346.4,,,,,,,,,,,,,,,,,,,
,15.38,4284,15.46,1397.4,15.30,1346.4,,,,,,,,,,,,,,,,,,,
